id,upvotes,edited,uncle joke,archived,comments,hash
71,7080,False,False,True,79,ed5a581e5341f114aeafe25a9d99dba445792106d7b7809df5ebf63270676bf936aac64de5a6e47a5ab06550fd82c4d1d7eb39476f825462d9810406bf973eb1
72,7056,False,False,False,95,933871469f9f23646a0c18409f74f915c7879d057840652c21b2997406ca10e9024ba539f06e32529144db3d49c5c2558351fd0de6e9f5c082e09a471695c79b
73,7060,False,False,True,130,147e2d15e770c17bad7e1fd6209b828ba70419c0dc10027b70e387920819965944b09faeed6553d7f8282816048c87962f764f5996ba6dc8fcdedf6c4abf6ebd
74,7022,False,False,True,161,32804d86bc9bfd4a3b789a5f1a7debb7d90ec710c3f0b11146ccdec86cd6279fc9d3794a65492baff8b92924f213601b3a98cb24dcab420c50a8baafcb946c52
75,7009,False,False,True,73,4272df5a0595fb37886c6c62d4ebae631826588e1cebf9792f4b0d3b783f80bbc853f42a9710a678b3c41e5e99fa2d49f72a1ec839a15d47702478f404b094a5
76,6994,False,False,False,102,8bee2e6d8789f5bb51f0d206480ed50d86c60a544b35068a97574b587fcdd5efb9737d4db9852e3e9d1bead45a49c7ae412f23661abe91fc8e65f1762a3e6cf6
77,6966,False,False,True,145,53780cfba710d12357cd8c41710bd8c6ab84883b96e7159edde8b4b3cdf930b3a9190437e68c35a9753be01894ea8efa76d48fc5f8905d959076a4ce5fefa16b
78,6841,False,False,True,133,28edf700203c4a6b3237602be6551cc703e18f942778b92585a57e13c627b5a53f8bbee834bd4bfc00164a35bcdf87b4b95b640814dc0160320fa7dd32852cb6
79,6788,False,False,True,149,87fd7ac3f0fc12501f150718d0488763282b744946fb3fc427d6ceef2fd2267a26c0c961ee6bc915219f2a6cad0a9271f330683eb4c4e56967674229c39174a9
80,6774,False,False,True,183,a8efba9acb1cf715327e0f7f269f51d4d2fe7b67561340df1822be63e036b268a2dbd1777b00d5e5a41f16ceab0f8c7abd35391d0871590a39b5e86df458aa7d
81,6712,False,False,False,62,e439bee60afa8c2823179a1940dbae79d008b02c3c201334e060062fe101a0b399f551c4e213c05553dd6f7c5484701dda9398e8e1a63a58d982a81ea51b27b4
